name,description
Plumbing,"Pipe, tap, drain, toilet, sink, geyser and general plumbing repairs or installations."
Cleaning,"Home, office and general cleaning services."
Electrical,"Electrical repairs, fault finding, wiring and installation services."
Gardening,"Garden maintenance, lawn care, trimming, planting and general outdoor upkeep."
Automotive Repair,"Vehicle inspection, maintenance and general mechanic repair services."
Tutoring,"Academic tutoring and learning support for school, college or other subjects."
Braiding,Hair braiding and related styling services.
Hairdressing,"Hair cutting, styling, treatment and general hairdressing services."
Nail Services,"Manicures, pedicures, nail care and nail styling services."
Makeup Services,"Makeup application for everyday, event and special-occasion needs."
Painting,"Interior, exterior and general painting services."
Building & Construction,"General building, construction, repairs and small structural work."
Tailoring,"Clothing alterations, repairs, sewing and custom tailoring services."
Photography,"Photography services for events, portraits, products and other occasions."
Handyman,"General household repairs, maintenance, assembly and small odd jobs."
