user_id,bio,location,service_radius,rating
1,Experienced local tradesman providing reliable home repair and maintenance services.,Durban,20.0,4.8
2,Skilled technician with experience in residential repairs and installations.,Pinetown,18.0,4.6
3,Friendly and dependable service provider focused on quality household services.,Berea,12.0,4.7
4,Practical all-round tradesman with experience working in homes and small businesses.,Umlazi,25.0,4.5
5,Professional service provider known for punctuality and attention to detail.,Durban North,15.0,4.9
6,Experienced maintenance specialist serving residential and commercial customers.,Westville,25.0,4.7
7,Independent local service provider with a strong focus on customer satisfaction.,KwaMashu,15.0,4.6
8,Qualified and experienced technician offering dependable repair and installation work.,Overport,20.0,4.8
9,Community-based service provider offering reliable and affordable local services.,Chatsworth,15.0,4.4
10,Hands-on tradesman with several years of experience in household maintenance.,Newlands East,20.0,4.5
11,Detail-oriented independent provider offering professional services to local customers.,Umhlanga,30.0,4.9
12,Experienced service provider specialising in practical repairs and maintenance.,Phoenix,25.0,4.7
13,Friendly local professional offering dependable services with flexible availability.,Hillcrest,20.0,4.6
14,Skilled technician with experience serving both homes and small businesses.,Musgrave,25.0,4.8
15,Reliable community tradesman experienced in general repair and maintenance work.,Inanda,18.0,4.3
16,Independent professional focused on high-quality work and clear customer communication.,La Lucia,30.0,4.9
17,Versatile local service provider with experience across multiple household jobs.,Reservoir Hills,20.0,4.5
18,Experienced local professional providing efficient and affordable services.,Queensburgh,20.0,4.6
19,"Reliable provider offering careful, customer-focused services in the local community.",Amanzimtoti,25.0,4.7
20,Experienced independent technician known for practical solutions and dependable service.,Morningside,25.0,4.8
